Quote_ID,QuoteConversion_Flag
11405,0
21611,1
53649,0
49307,1
78210,1
24625,0
26509,1
11308,1
40869,1
55152,0
76163,0
36741,1
10454,1
16531,1
38276,1
47742,0
13049,1
51436,1
45834,1
17875,0
53337,1
23792,1
64978,0
4377,1
36353,1
9062,0
48764,0
57078,1
28859,1
56948,1
45509,1
45349,1
77674,0
23506,1
41533,0
30101,0
11923,1
68607,0
53468,1
24539,1
2567,1
12283,1
55559,1
31620,0
57486,1
58161,1
30767,0
27160,1
74986,1
75451,1
40174,0
65160,0
40730,1
24571,1
50222,1
30212,1
54917,0
61609,0
5753,1
76488,1
46555,1
57622,0
51233,1
48774,1
49884,1
38580,0
36441,0
5801,0
27093,1
52025,1
44088,0
77318,1
74522,1
31436,0
23630,1
21692,1
77860,0
72279,1
56050,1
51959,1
33620,1
74560,1
77862,1
48297,1
34703,1
26749,1
30151,0
19503,1
12480,0
29282,1
34173,1
51368,0
56563,0
69306,1
76982,0
45622,0
53574,0
34848,1
15950,1
52101,1
25359,0
43165,0
62083,1
22027,0
63412,1
21255,1
54311,1
32735,0
60664,0
7736,1
12553,1
34471,1
63718,0
18862,0
52625,1
15149,0
3004,1
48956,0
20889,0
35,1
75401,1
74133,0
12452,1
51945,0
55677,1
53654,1
64684,1
32241,0
72757,0
77676,0
35488,0
54428,1
5890,1
37186,1
23353,1
38813,0
45036,0
50554,1
29106,1
16883,0
27636,1
26372,1
53248,1
19637,1
42683,0
66071,1
16241,0
63801,1
51030,1
16503,1
3635,1
39217,0
13804,1
73928,1
21767,0
9855,1
19218,0
7880,1
54307,0
8839,1
28269,1
50432,1
73890,0
2394,1
45213,1
16019,0
21863,1
74038,1
28277,0
3009,0
76016,0
59469,0
8773,0
16460,1
48146,0
2311,0
36587,1
70431,1
43731,1
42164,0
14239,1
58996,1
60357,1
43536,0
37216,1
27736,0
11757,1
826,1
56280,1
60354,0
63808,0
54700,0
39080,1
10833,1
27608,1
75464,1
75384,0
58893,0
4301,1
28221,0
53464,1
10083,1
58261,1
66821,1
3502,1
18411,1
64363,1
53818,0
72784,0
47488,1
28467,1
66663,1
23301,1
73671,1
6009,1
17174,1
59174,1
59816,1
66552,1
64786,1
61391,1
34561,1
27504,1
53354,1
27039,1
33451,0
17694,1
5940,1
4027,1
53738,1
60243,1
23385,1
11676,1
76180,1
73017,1
46710,0
13000,0
5306,1
60815,1
70122,1
64054,1
21502,1
51458,0
68380,1
56193,1
72411,1
34285,1
10219,1
72121,0
66633,1
38351,0
41574,0
6182,1
14499,1
19968,0
52624,1
9842,1
56219,0
66263,1
56363,1
58314,1
45253,1
68811,0
76323,0
17661,1
59092,0
10264,1
9586,1
31954,1
71229,1
74111,1
63686,1
77661,0
14964,1
15864,1
54641,1
34456,1
20280,1
30742,0
41970,0
41993,1
62476,0
63026,1
44623,0
41203,0
41977,1
29555,1
65225,0
60840,0
70196,1
42437,1
24288,1
18302,1
38985,1
9496,1
44618,0
44949,1
51761,0
76585,0
62266,0
74373,1
14856,1
72677,1
64746,1
22257,1
9943,1
11680,1
75668,1
33689,1
14491,1
33807,1
64742,0
307,0
22259,0
11644,0
41042,1
33443,0
4646,0
4602,1
31020,0
66436,1
10684,0
13686,1
37073,1
55390,0
54057,0
30947,1
1596,1
24321,0
6824,0
72207,0
71971,1
58111,1
38156,0
33897,1
61749,1
18517,0
42766,0
17855,1
8417,1
22984,0
12702,1
25133,1
65389,0
39415,1
70477,0
7341,0
51213,0
16186,1
69572,1
55078,0
8204,1
5895,0
46905,0
54851,1
39045,0
31304,0
16354,1
21524,0
18705,1
48457,1
44017,1
61932,0
43984,0
4545,1
24306,0
67716,1
40043,1
28838,1
25498,1
60970,1
65074,1
59016,0
60444,0
73010,1
52356,0
53031,1
7782,1
31222,0
17613,0
45223,1
4246,1
53817,1
32773,1
11591,1
32654,1
75692,1
72093,0
62657,1
67908,1
18906,1
230,1
4100,1
3093,1
26840,1
41312,1
55084,0
43080,1
38808,0
72898,1
9525,1
11843,1
48488,0
30889,0
61162,1
31548,1
37738,1
4927,1
38954,1
70711,1
25963,1
57737,0
6452,1
9315,1
6617,0
20440,1
3808,1
66529,0
26893,0
42635,1
53338,1
18776,0
46746,0
66380,1
15485,1
14290,0
34176,1
10270,1
19188,1
57731,0
16259,1
26502,1
44161,0
17124,0
55821,1
73052,1
32823,0
45620,1
66421,1
55844,0
11234,1
37576,1
55873,1
10032,1
36507,0
62558,0
62543,1
1888,1
21149,0
77347,1
71516,0
60179,0
25236,1
16532,0
34673,1
17360,0
48464,1
4509,1
58676,1
11902,1
39160,1
67750,0
77529,0
25560,0
18077,0
12420,1
24289,0
56166,1
3688,1
58824,1
11912,1
11432,1
73335,0
54042,1
34216,0
7527,0
37805,0
70090,0
37005,1
23983,1
67838,1
19308,1
57838,0
68328,0
33632,1
39871,0
13792,0
34964,1
23668,0
9819,0
15946,0
25326,0
52841,1
11756,0
14987,0
28125,0
25703,1
77006,0
12797,1
68217,1
29883,0
43829,1
45065,0
71493,1
39384,1
76767,0
66854,0
23050,0
32478,0
3836,1
54553,1
29746,1
49213,1
39154,1
70804,0
45567,1
4460,1
20730,0
15059,0
27753,1
33292,1
33777,1
1572,1
3194,0
5626,1
39909,1
20193,1
17381,1
51716,1
62956,0
15331,1
61898,0
17601,0
67892,0
53530,1
64891,0
53393,1
3382,1
7067,1
52075,1
12601,0
31376,1
8694,1
45671,1
15386,0
32033,1
15086,1
38934,1
10054,1
66827,1
77575,1
12083,1
199,0
50603,1
73504,1
53006,0
73434,1
44460,0
68230,1
32088,1
40300,1
65803,1
56089,1
18049,1
74299,0
7440,1
44699,0
19200,1
75626,0
15758,0
59843,1
38015,1
70562,1
10220,0
7718,1
17776,1
13266,1
41501,1
67365,1
59360,1
9942,1
28891,0
53169,0
2324,1
57832,1
10024,0
39128,1
77469,1
52294,1
11441,1
34921,1
36575,1
40687,1
48901,0
12629,0
69393,0
55832,0
74321,1
28684,1
52300,1
7689,1
23875,1
11074,1
9556,1
50616,1
35649,1
43824,1
65863,0
14251,1
469,1
22207,0
37682,0
66911,0
69376,0
61895,1
7836,1
10354,0
22489,0
23888,1
18491,0
9401,1
40124,0
26775,0
26475,1
50746,1
32381,1
12363,1
39320,0
24132,1
49366,1
51625,1
32974,0
69861,1
67725,0
78023,1
33288,1
32354,0
37083,1
27256,0
64483,1
57712,1
72994,1
32528,0
20412,0
31333,0
17934,1
15734,1
34187,0
70460,1
45164,1
23633,1
10118,1
186,0
41370,1
17715,0
50163,1
15879,0
9651,1
65399,1
35855,0
35206,0
7952,1
35792,1
75307,1
25159,0
34254,1
44818,1
66008,1
16271,1
58262,1
29269,0
4917,1
20305,0
5200,1
48575,0
40815,1
15381,1
13610,0
11150,1
17024,0
72071,0
59963,1
65742,0
47543,1
54033,0
46477,1
74948,1
37377,1
50348,0
63172,1
68244,1
64075,1
31433,0
10175,1
4571,1
19363,1
12399,0
24138,1
42490,1
74091,1
49696,0
5777,0
20992,0
21652,0
11168,0
56752,1
71848,1
61669,1
56729,1
29207,1
44322,0
18438,0
17268,1
5101,1
40629,1
8847,1
56237,1
50812,0
13569,1
50821,0
40237,1
73140,1
38387,1
11999,1
40977,0
57119,1
15097,1
19542,1
40091,0
56392,1
4576,1
58818,0
50394,1
6539,0
34643,1
41019,0
23368,1
2514,1
40725,0
46409,0
52493,1
52206,0
39296,1
46816,0
37324,1
57769,0
1289,0
37,1
11525,1
19854,0
48491,0
29670,0
10967,0
5789,0
34077,0
42666,0
12867,1
18352,1
44085,1
42774,1
18805,1
63651,1
61083,1
54708,0
24049,1
41529,1
26037,1
16482,0
22621,0
71849,1
41689,1
24585,1
3461,1
71932,1
68258,1
47947,1
76922,1
72608,1
21639,0
21583,1
34097,1
44121,0
23447,1
21835,1
70938,1
32617,1
72704,1
46540,1
14768,0
47531,1
42692,1
2913,1
26404,1
48335,0
46832,1
16630,1
5834,1
60416,1
12661,1
21127,1
23863,1
58778,0
5341,1
9800,1
12366,1
57593,1
75354,0
14908,0
22388,0
30177,0
15383,0
76515,1
75531,1
10861,0
44788,0
69978,0
39460,0
13294,0
12995,1
6094,1
14635,1
7329,1
24471,1
72604,1
12162,1
33585,1
521,1
16102,1
55687,0
51168,0
8972,0
2706,1
31152,1
46198,0
58506,1
65332,0
18767,1
23485,0
20226,0
73624,1
53625,1
1105,0
17471,0
4351,1
58730,1
25081,0
25782,1
4567,1
15548,1
48093,1
34945,1
61513,1
64371,1
53906,1
35999,1
68501,1
45113,1
26228,1
15816,1
72366,1
52995,1
63903,1
5878,1
47521,1
4604,0
56116,0
69919,0
43492,1
7381,1
61289,1
63106,1
1521,1
15700,0
44874,1
987,0
5506,1
35840,0
48830,0
56368,1
61525,0
68198,0
57819,1
42073,0
1469,0
33222,1
29193,1
54938,0
48005,1
943,1
18312,0
18895,0
45724,1
34628,0
30506,1
58058,1
54117,0
62290,1
28525,0
49574,1
46449,0
45843,0
13928,0
53046,0
19465,1
46423,1
61930,1
77266,0
5739,1
6126,1
44969,1
331,1
34146,0
48818,1
63624,1
39175,1
19286,1
3668,1
32519,0
28598,1
30944,1
7983,1
3743,1
18824,1
30199,1
27307,0
10658,1
30778,0
37336,0
32692,1
28360,1
73212,1
10206,1
37138,0
71508,1
38902,1
5692,1
74745,0
39193,0
25677,1
64031,0
44328,1
36817,1
44913,1
33314,0
36552,0
18835,0
69913,0
16050,1
28548,1
65056,0
13514,1
30977,0
30319,0
18128,1
28779,0
10259,1
15120,1
15000,0
72134,1
62114,0
64421,1
39685,1
76777,1
68444,1
32326,1
71089,1
55595,1
10743,1
1559,1
6977,0
38887,1
69899,1
59505,0
68040,0
74294,0
692,1
33059,1
71425,1
48184,1
63029,0
68769,1
16079,0
53153,0
33107,0
8520,1
56377,1
35220,0
22214,0
57467,1
31849,0
13043,0
6577,1
54953,1
51767,0
54290,0
6941,1
42742,0
30540,1
57043,1
6230,0
45190,1
68415,1
46909,1
24223,1
5902,0
46473,1
50730,1
59441,1
45961,1
63452,1
6844,1
29061,1
17238,0
6310,1
37175,1
36010,1
134,1
45156,1
2004,0
53529,0
20089,1
35872,1
266,0
43802,0
41454,1
54554,1
23396,1
29987,0
20600,1
11386,0
57672,0
4698,1
62521,0
45191,1
7256,0
67406,0
13585,1
52656,1
13076,1
37256,0
27404,0
42289,0
58834,1
39104,0
78016,0
1757,0
52832,1
42514,1
6248,1
14592,0
69178,1
74723,0
67976,1
60216,0
12281,1
4486,1
57549,1
41090,1
42013,1
58747,0
77883,0
10353,0
32987,1
54662,0
13020,1
68304,1
1645,1
64500,0
73613,1
31202,1
24092,1
60012,1
44369,0
11747,1
20519,0
16390,1
14395,1
19509,0
64324,0
41481,1
